Numero,Vecinos,Porcentaje,Accuracy,Precision,Recall
1775,51,71,0.9326765188834154,0.9330405487439212,0.9319401459579613
1776,53,71,0.9314449917898193,0.9318372775059542,0.9306615942688584
1777,55,71,0.9313628899835796,0.9316936164172456,0.9305825680789169
1778,57,71,0.9311165845648605,0.9314920936706788,0.930329912804668
1779,59,71,0.9308702791461412,0.93124718447161,0.9301008841040563
1780,61,71,0.9298850574712644,0.9302868228804393,0.9291029504631183
1781,63,71,0.9299671592775041,0.9303808845481999,0.9291979984721062
1782,65,71,0.9293924466338259,0.929805228172906,0.9285783443895982
1783,67,71,0.9282430213464696,0.9287022846684037,0.9273849567003747
1784,69,71,0.9269293924466339,0.9273657389301692,0.9260029331527818
1785,71,71,0.9277504105090312,0.92822259773895,0.9268504428562385
1786,73,71,0.9265188834154351,0.9270290053786308,0.9256031466060275
1787,75,71,0.925944170771757,0.9265655414905007,0.9249892414391976
1788,77,71,0.9254515599343186,0.9261043531929793,0.924486508577389
1789,79,71,0.9252052545155993,0.925824381277651,0.9242726318221219
1790,81,71,0.924712643678161,0.9253590015087886,0.9237654064212064
1791,83,71,0.9241379310344827,0.9248095335248699,0.9231607026481397
1792,85,71,0.9236453201970444,0.9243267610953796,0.922659867013613
1793,87,71,0.9230706075533662,0.9237547787779427,0.9220648399684874
1794,89,71,0.9235632183908046,0.9242541753566806,0.922563331374624
1795,91,71,0.9230706075533662,0.9238272869823516,0.9220390536827285
1796,93,71,0.922495894909688,0.9232119833530928,0.9214479772011321
1797,95,71,0.9220853858784893,0.9228037509467626,0.9210111410111381
1798,97,71,0.9213464696223317,0.9221430749633122,0.9202963531161246
1799,99,71,0.9207717569786535,0.9216157606409613,0.919701435126178
1800,1,73,0.9535273368606701,0.9530183915393922,0.9530192645369823
1801,3,73,0.9572310405643739,0.9568595056854994,0.956769096715313
1802,5,73,0.9559964726631394,0.9556369557445639,0.9554263951918154
1803,7,73,0.9552028218694886,0.9548235709720234,0.9546815132206685
1804,9,73,0.9544091710758378,0.9541530582435993,0.9539648257493291
1805,11,73,0.950352733686067,0.9500717294429591,0.9499145581060985
1806,13,73,0.9487654320987654,0.948495650483666,0.9483294491118841
1807,15,73,0.9485008818342152,0.9482624457682192,0.9480489596313477
1808,17,73,0.9464726631393298,0.9462751542930151,0.9458862477315888
1809,19,73,0.9448853615520282,0.9447591761552978,0.944357146385571
1810,21,73,0.9437389770723104,0.9436703183773284,0.943222106182976
1811,23,73,0.9424162257495591,0.9423306352935221,0.9418178049259005
1812,25,73,0.941358024691358,0.9412543291023253,0.9407605800166765
1813,27,73,0.9408289241622575,0.9407733784876905,0.9402040216027349
1814,29,73,0.9397707231040564,0.9397298535407119,0.939112786313783
1815,31,73,0.9393298059964726,0.9392316369225391,0.9386612619484639
