"Vecinos vs porcentaje" 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99
21 1,300917864 2,88293767 3,868418694 4,840591908 5,933654785 6,871291876 7,682330608 8,137668848 9,484581232 9,747409344 10,54799771 11,32444668 12,07228851 13,01811361 13,52523494 13,60524106 14,39611197 15,25686717 14,60203671 15,70722222 16,19050503 16,1896348 15,92135906 16,38992429 16,62437582 16,72977161 16,43759823 16,85604119 15,93652201 16,6917789 16,68647289 16,00812554 15,62362576 15,44249368 15,27717662 15,60678148 14,89915323 14,08630013 13,93866539 13,42212343 12,77620077 11,74365258 10,91143084 10,60778952 10,35139251 8,598546743 8,230015516 6,81922245 6,23583889 5,199914217
23 1,302667141 2,895917177 3,879428387 4,836052418 5,938611984 6,866980553 7,682151079 8,130089045 9,49592185 9,768106222 10,54611897 11,35366774 12,07110381 13,02119231 13,52319646 13,59814167 14,3716855 15,25664473 14,60068822 15,70591617 16,17689776 16,20611095 15,99370503 16,38848639 16,64682198 16,71748018 16,42839885 16,87628007 15,93313408 16,88381171 16,5810895 16,01105332 15,63289952 15,44720817 15,26903701 15,60206294 14,90963936 14,08129859 13,92441416 13,48116446 12,77605677 11,72077751 10,91881919 10,60655737 10,3361876 8,590883493 8,217489958 6,828453302 6,234884977 5,202672482
25 1,31443119 2,894029856 3,874013424 4,832138062 5,931566 6,865053892 7,703125 8,137035608 9,494735718 9,757786751 10,53334522 11,34776258 12,06131434 13,02841377 13,52771831 13,59400678 14,38854933 15,21719098 14,62732553 15,69286799 16,19051695 16,20049095 15,9261961 16,40870023 16,65824628 16,75759792 16,4213984 16,84185719 15,94344258 16,68249178 16,58270907 15,99137187 15,63459134 15,44910264 15,2710011 15,60599065 14,88842177 14,08115768 13,92558455 13,44192386 12,79019189 11,73214674 11,01203895 10,5959208 10,34883404 8,604500771 8,220334053 6,823351622 6,224370003 5,217797756
27 1,32537055 2,900587559 3,876616955 4,836033106 5,934150934 6,873846531 7,685534 8,135271072 9,489284515 9,759363413 10,54485345 11,32583332 12,07934761 13,01193285 13,52534056 13,59002113 14,36006498 15,22139335 14,60264277 15,70708919 16,18617129 16,2102859 15,96829581 16,38907361 16,65240955 16,71431279 16,44197774 16,85563326 15,94617605 16,68857551 16,5728395 16,0131135 15,64267182 15,45700932 15,27561545 15,63373637 14,89698505 14,08134842 13,91728759 13,44671893 12,79088902 11,7748754 10,94807458 10,60492468 10,34231329 8,586708069 8,216861963 6,820308208 6,219358206 5,220829964
29 1,321891308 2,906654119 3,87739706 4,834398508 5,932546616 6,866060972 7,689030409 8,127281904 9,486036777 9,741733551 10,53753877 11,35347152 12,06200957 13,03652501 13,50992846 13,59446239 14,37385702 15,22608352 14,61184955 15,70686698 16,19585466 16,191746 15,91836691 16,40019941 16,63184762 16,77166319 16,4239552 16,84971881 15,93016553 16,67673659 16,57541513 16,01070762 15,627666 15,44858146 15,27309012 15,6117568 14,88384986 14,06530333 13,92521453 13,46869659 12,78248978 11,73343492 10,9519434 10,59875298 10,34224772 8,601457834 8,205926657 6,821502686 6,227317333 5,207735062
31 1,354228497 2,901026249 3,876652002 4,83791256 5,937370539 6,879983664 7,698093891 8,128403425 9,493187666 9,758629799 10,54802871 11,32834768 12,07456899 13,01805806 13,50145316 13,59017682 14,34942913 15,21398234 14,58394861 15,71781778 16,18196177 16,22111487 15,93045783 16,40854812 16,63456845 16,73347783 16,43516088 16,8654964 15,93970275 16,66420579 16,58409452 16,0095377 15,61338615 15,47899461 15,2695787 15,62006783 14,90810585 14,09099889 13,92781711 13,43446064 12,78961134 11,70607591 10,95343757 10,59360576 10,36411977 8,591742277 8,222597599 6,8323493 6,222353458 5,205585718
33 1,30880928 2,912267208 3,873593807 4,838031054 5,935829163 6,874076843 7,68433404 8,136527777 9,497565985 9,742376328 10,53616047 11,34067798 12,0579896 13,0290997 13,52370191 13,58434153 14,36580825 15,207026 14,61216402 15,6797986 16,19868994 16,20013404 15,92695522 16,4098115 16,64442229 16,73669839 16,43969131 16,88528705 16,02821183 16,67109895 16,5787487 16,01284623 15,62526846 15,44549012 15,30980349 15,6102891 14,89714289 14,07654762 13,9361763 13,42936063 12,78960633 11,73927641 10,95287061 10,60387397 10,33632827 8,593665361 8,225805283 6,82149148 6,227867603 5,20220089
35 1,313751221 2,924464464 3,882228613 4,83415699 5,926197767 6,874705553 7,680330753 8,127622604 9,502377033 9,751069546 10,54439187 11,32719731 12,0938046 13,02313066 13,5225215 13,59683394 14,36327767 15,22782421 14,60995317 15,6989224 16,1814239 16,23680067 15,92260718 16,39349413 16,63590932 16,71605492 16,44476938 16,85262394 15,942307 16,67955685 16,56530118 16,01549196 15,64083147 15,52530694 15,29067564 15,70337439 14,89795971 14,0898025 13,9182415 13,43181705 12,79438996 11,73282051 11,10493803 10,60620046 10,35858679 8,590617418 8,216191292 6,850679874 6,223974466 5,212081432
37 1,322314978 2,929173708 3,885453463 4,831484795 5,946465015 6,866352558 7,690508604 8,143420219 9,499163628 9,744968891 10,54394126 11,32580113 12,08673382 13,01176429 13,53605652 13,58399248 14,35882354 15,21358967 14,60827827 15,70315027 16,16699266 16,20880866 15,91892886 16,39949465 16,64820361 16,73990345 16,43314433 16,85355258 15,99986053 16,68009424 16,58554959 16,01032758 15,64101958 15,47435308 15,31659651 15,61608243 14,88742709 14,09328651 13,92206025 13,43575335 12,79162431 11,72421432 11,41335988 10,6110394 10,33523226 8,587818146 8,212405205 6,825779915 6,22869873 5,20588851
39 1,313857555 2,926159859 3,885280371 4,845214605 5,947555304 6,873445272 7,679880857 8,141073227 9,494743586 9,747613907 10,56083179 11,3430922 12,08165741 13,02777457 13,53008676 13,58700252 14,35568523 15,20854735 14,62104154 15,70547366 16,21147394 16,23768544 15,94367266 16,40706372 16,63814259 16,72249436 16,41140223 16,88088536 15,94155455 16,68964958 16,57305813 15,99319029 15,7139852 15,48223925 15,27094984 15,64711404 14,94795322 14,09240365 13,92243195 13,42248797 12,78793979 11,71711469 10,92598319 10,6047554 10,33724833 8,601215601 8,207659245 6,829215527 6,21861124 5,203682184
